NDC Description,NDC,Old NADAC Per Unit,New NADAC Per Unit,Classification for Rate Setting,Percent Change,Primary Reason,Start Date,End Date,Effective Date
ANASTROZOLE 1 MG TABLET,62756025083,0.14310,0.13758,G,-3.86,Survey Rate,06/16/2021,06/23/2021,06/23/2021
ZOVIA 1-35E TABLET,51862026006,0.47759,0.38707,G,-18.95,Survey Rate,06/16/2021,06/23/2021,06/23/2021
OMEPRAZOLE DR 20 MG CAPSULE,60505395203,0.03951,0.04086,G,3.42,Survey Rate,06/16/2021,06/23/2021,06/23/2021
DULOXETINE HCL DR 30 MG CAP,68001025604,0.13557,0.13920,G,2.68,Survey Rate,06/16/2021,06/23/2021,06/23/2021
TRAVOPROST 0.004% EYE DROP,00781618556,44.80667,39.26326,G,-12.37,Survey Rate,06/16/2021,06/23/2021,06/23/2021
ALOSETRON HCL 0.5 MG TABLET,00054029513,7.90920,3.46524,G,-56.19,Survey Rate,06/16/2021,06/23/2021,06/23/2021
AMLODIPINE-OLMESARTAN 10-20 MG,67877050090,0.43767,0.45530,G,4.03,Survey Rate,06/16/2021,06/23/2021,06/23/2021
SODIUM CHLORIDE 5% EYE DROP,17478062312,0.55735,0.57349,G,2.90,Survey Rate,06/16/2021,06/23/2021,06/23/2021
CARISOPRODOL 350 MG TABLET,00591551310,0.06811,0.06313,G,-7.31,Survey Rate,06/16/2021,06/23/2021,06/23/2021
DONEPEZIL HCL 5 MG TABLET,60687029201,0.05285,0.05674,G,7.36,Survey Rate,06/16/2021,06/23/2021,06/23/2021
DESONIDE 0.05% OINTMENT,52565003815,1.31890,1.37721,G,4.42,Survey Rate,06/16/2021,06/23/2021,06/23/2021
ACETYLCYSTEINE 20% VIAL (NOT FOR INJECTION),63323069030,0.32334,0.33845,G,4.67,Survey Rate,06/16/2021,06/23/2021,06/23/2021
LOPREEZA 1 MG-0.5 MG TABLET,69238161006,1.66497,1.79638,G,7.89,Survey Rate,06/16/2021,06/23/2021,06/23/2021
LEVOTHYROXINE 88 MCG TABLET,00378180777,0.23326,0.23358,G,0.14,Survey Rate,06/16/2021,06/23/2021,06/23/2021
SULFAMETHOXAZOLE-TMP SS TABLET,50268072811,0.06655,0.06607,G,-0.72,Survey Rate,06/16/2021,06/23/2021,06/23/2021
LATANOPROST 0.005% EYE DROPS,17478062512,1.98304,2.00450,G,1.08,Survey Rate,06/16/2021,06/23/2021,06/23/2021
MEDROXYPROGESTERONE 5 MG TAB,59762005801,0.14341,0.15096,G,5.26,Survey Rate,06/16/2021,06/23/2021,06/23/2021
ATENOLOL-CHLORTHALIDONE 50-25,29300040001,0.40550,0.37683,G,-7.07,Survey Rate,06/16/2021,06/23/2021,06/23/2021
DONEPEZIL HCL 5 MG TABLET,13668010230,0.05285,0.05674,G,7.36,Survey Rate,06/16/2021,06/23/2021,06/23/2021
PERPHENAZINE 4 MG TABLET,64980029101,0.45410,0.42193,G,-7.08,Survey Rate,06/16/2021,06/23/2021,06/23/2021
OLMESARTAN MEDOXOMIL 20 MG TAB,62332013230,0.12801,0.11633,G,-9.12,Survey Rate,06/16/2021,06/23/2021,06/23/2021
ASPIRIN EC 325 MG TABLET,70000003501,0.01828,0.01713,G,-6.29,Survey Rate,06/16/2021,06/23/2021,06/23/2021
VALSARTAN-HYDROCHLOROTHIAZIDE 80-12.5 MG TAB,00378632177,0.37568,0.33827,G,-9.96,Survey Rate,06/16/2021,06/23/2021,06/23/2021
PREDNISONE 20 MG TABLET,00591544301,0.11350,0.11230,G,-1.06,Survey Rate,06/16/2021,06/23/2021,06/23/2021
ATORVASTATIN 10 MG TABLET,67877051105,0.04057,0.03731,G,-8.04,Survey Rate,06/16/2021,06/23/2021,06/23/2021
ESTRADIOL 0.06 MG PATCH (1/WK),00378336116,10.99000,9.44950,G,-14.02,Survey Rate,06/16/2021,06/23/2021,06/23/2021
ACETAMINOPHEN-COD #4 TABLET,71930005652,0.20969,0.20461,G,-2.42,Survey Rate,06/16/2021,06/23/2021,06/23/2021
NOVOLIN 70-30 100 UNIT/ML VIAL,00169183711,13.25028,13.25119,B,0.01,Survey Rate,06/16/2021,06/23/2021,06/23/2021
BACLOFEN 10 MG TABLET,00603240632,0.07572,0.07870,G,3.94,Survey Rate,06/16/2021,06/23/2021,06/23/2021
SERTRALINE HCL 100 MG TABLET,68180035309,0.06708,0.06716,G,0.12,Survey Rate,06/16/2021,06/23/2021,06/23/2021
DRIMINATE 50 MG TABLET,00904677212,0.05141,0.04549,G,-11.52,Survey Rate,06/16/2021,06/23/2021,06/23/2021
ETODOLAC 500 MG TABLET,00185068701,0.36530,0.37750,G,3.34,Survey Rate,06/16/2021,06/23/2021,06/23/2021
PREGABALIN 25 MG CAPSULE,00228285609,0.09877,0.09848,G,-0.29,Survey Rate,06/16/2021,06/23/2021,06/23/2021
PERPHENAZINE 4 MG TABLET,68382059201,0.45410,0.42193,G,-7.08,Survey Rate,06/16/2021,06/23/2021,06/23/2021
BRIMONIDINE 0.2% EYE DROP,17478071512,0.69562,0.71421,G,2.67,Survey Rate,06/16/2021,06/23/2021,06/23/2021
LINEZOLID 600 MG TABLET,50268047111,2.01421,2.26916,G,12.66,Survey Rate,06/16/2021,06/23/2021,06/23/2021
KLOR-CON 10 MEQ TABLET,00245531611,0.25556,0.26965,B,5.51,Survey Rate,06/16/2021,06/23/2021,06/23/2021
ISOSORBIDE MONONIT ER 60 MG TB,62175011946,0.13484,0.13916,G,3.20,Survey Rate,06/16/2021,06/23/2021,06/23/2021
CIPROFLOXACIN 0.3% EYE DROP,61314065625,3.08750,2.99844,G,-2.88,Survey Rate,06/16/2021,06/23/2021,06/23/2021
IRBESARTAN 300 MG TABLET,33342004910,0.33007,0.32310,G,-2.11,Survey Rate,06/16/2021,06/23/2021,06/23/2021
IPRATROPIUM BR 0.02% SOLN,00487980130,0.05897,0.05577,G,-5.43,Survey Rate,06/16/2021,06/23/2021,06/23/2021
NASAL SPRAY 0.05%,24385006710,0.07044,0.06249,G,-11.29,Survey Rate,06/16/2021,06/23/2021,06/23/2021
DOXEPIN 25 MG CAPSULE,00904705361,0.31901,0.33236,G,4.18,Survey Rate,06/16/2021,06/23/2021,06/23/2021
MIRTAZAPINE 45 MG TABLET,51079008801,0.15015,0.16136,G,7.47,Survey Rate,06/16/2021,06/23/2021,06/23/2021
IPRATROPIUM BR 0.02% SOLN,47335070649,0.05554,0.05458,G,-1.73,Survey Rate,06/16/2021,06/23/2021,06/23/2021
PRAMIPEXOLE 1.5 MG TABLET,68462033490,0.06791,0.06127,G,-9.78,Survey Rate,06/16/2021,06/23/2021,06/23/2021
DIAZEPAM 5 MG TABLET,00904588061,0.02529,0.02463,G,-2.61,Survey Rate,06/16/2021,06/23/2021,06/23/2021
LISINOPRIL 10 MG TABLET,68180098001,0.02122,0.02371,G,11.73,Survey Rate,06/16/2021,06/23/2021,06/23/2021
KETOROLAC 0.5% OPHTH SOLUTION,60505100302,1.74284,1.87747,G,7.72,Survey Rate,06/16/2021,06/23/2021,06/23/2021
DILTIAZEM 24H ER(CD) 360 MG CP,50742025290,2.90547,3.48089,G,19.80,Survey Rate,06/16/2021,06/23/2021,06/23/2021
NEOMYC-BACIT-POLYMIX EYE OINT,24208078055,8.18857,9.18972,G,12.23,Survey Rate,06/16/2021,06/23/2021,06/23/2021
TRAMADOL-ACETAMINOPHEN 37.5-325 MG TAB,65862092201,0.11708,0.11301,G,-3.48,Survey Rate,06/16/2021,06/23/2021,06/23/2021
NIGHTTIME COLD-FLU RLF SFTGL,00904699644,0.13771,0.11884,G,-13.70,Survey Rate,06/16/2021,06/23/2021,06/23/2021
DOTTI 0.025 MG PATCH,65162098908,7.69452,7.40238,G,-3.80,Survey Rate,06/16/2021,06/23/2021,06/23/2021
DRONABINOL 2.5 MG CAPSULE,42858086706,1.32425,1.24100,G,-6.29,Survey Rate,06/16/2021,06/23/2021,06/23/2021
BUPROPION HCL SR 100 MG TABLET,13668043060,0.13265,0.14133,G,6.54,Survey Rate,06/16/2021,06/23/2021,06/23/2021
ATOMOXETINE HCL 80 MG CAPSULE,64980037803,1.77406,1.73076,G,-2.44,Survey Rate,06/16/2021,06/23/2021,06/23/2021
CLINDAMYCIN-BENZOYL PEROX 1-5%,68462048627,1.49522,1.00194,G,-32.99,Survey Rate,06/16/2021,06/23/2021,06/23/2021
AMITRIPTYLINE HCL 25 MG TAB,16714044701,0.09534,0.09752,G,2.29,Survey Rate,06/16/2021,06/23/2021,06/23/2021
HM PAIN RELIEF 500 MG CAPLET,62011002301,0.02602,0.02873,G,10.42,Survey Rate,06/16/2021,06/23/2021,06/23/2021
OXCARBAZEPINE 600 MG TABLET,51991029405,0.39549,0.41341,G,4.53,Survey Rate,06/16/2021,06/23/2021,06/23/2021
ALBENDAZOLE 200 MG TABLET,43598045202,27.42222,26.05500,G,-4.99,Survey Rate,06/16/2021,06/23/2021,06/23/2021
FLUCONAZOLE 200 MG TABLET,00904650161,0.72129,0.60755,G,-15.77,Survey Rate,06/16/2021,06/23/2021,06/23/2021
CHLORTHALIDONE 25 MG TABLET,00904690061,0.19073,0.18627,G,-2.34,Survey Rate,06/16/2021,06/23/2021,06/23/2021
TRIPHROCAPS SOFTGEL,13811052501,0.15407,0.16812,G,9.12,Survey Rate,06/16/2021,06/23/2021,06/23/2021
CETIRIZINE HCL 1 MG/ML SOLN,23155029251,0.02478,0.02538,G,2.42,Survey Rate,06/16/2021,06/23/2021,06/23/2021
ALLERGY RELIEF 10 MG TABLET,36800061287,0.06088,0.06107,G,0.31,Survey Rate,06/16/2021,06/23/2021,06/23/2021
ANTISEPTIC SKIN CLEANSER 4%,70000040701,0.01789,0.01780,G,-0.50,Survey Rate,06/16/2021,06/23/2021,06/23/2021
ASPIRIN 325 MG TABLET,00904680940,0.00914,0.00935,G,2.30,Survey Rate,06/16/2021,06/23/2021,06/23/2021
OLANZAPINE 15 MG TABLET,68084052811,0.15867,0.15921,G,0.34,Survey Rate,06/16/2021,06/23/2021,06/23/2021
DILTIAZEM 60 MG TABLET,42799013002,0.17861,0.15669,G,-12.27,Survey Rate,06/16/2021,06/23/2021,06/23/2021
EZETIMIBE-SIMVASTATIN 10-20 MG,16714077902,0.87117,0.83288,G,-4.40,Survey Rate,06/16/2021,06/23/2021,06/23/2021
TRIAMTERENE-HYDROCHLOROTHIAZIDE 75-50 MG TAB,00591034810,0.13088,0.13690,G,4.60,Survey Rate,06/16/2021,06/23/2021,06/23/2021
NIFEDIPINE ER 30 MG TABLET,68682010810,0.21171,0.20595,G,-2.72,Survey Rate,06/16/2021,06/23/2021,06/23/2021
SENNA-TIME S TABLET,49483008101,0.03007,0.02971,G,-1.20,Survey Rate,06/16/2021,06/23/2021,06/23/2021
GLYBURIDE 1.25 MG TABLET,00121092990,0.13671,0.09470,G,-30.73,Survey Rate,06/16/2021,06/23/2021,06/23/2021
DICLOFENAC SODIUM 1% GEL,65162083366,0.12588,0.11614,G,-7.74,Survey Rate,06/16/2021,06/23/2021,06/23/2021
PHENOBARBITAL 20 MG/5 ML ELIX,69367017216,0.12397,0.08346,G,-32.68,Survey Rate,06/16/2021,06/23/2021,06/23/2021
LITHIUM CARBONATE 150 MG CAP,00054852625,0.07238,0.07770,G,7.35,Survey Rate,06/16/2021,06/23/2021,06/23/2021
CICLOPIROX 0.77% GEL,68462045535,0.90057,1.00940,G,12.08,Survey Rate,06/16/2021,06/23/2021,06/23/2021
FENOFIBRATE 160 MG TABLET,69367025409,0.26493,0.25394,G,-4.15,Survey Rate,06/16/2021,06/23/2021,06/23/2021
DOXAZOSIN MESYLATE 1 MG TAB,60505009301,0.09942,0.07199,G,-27.59,Survey Rate,06/16/2021,06/23/2021,06/23/2021
POTASSIUM CL ER 10 MEQ TABLET,68382060010,0.15462,0.15577,G,0.74,Survey Rate,06/16/2021,06/23/2021,06/23/2021
AMITRIPTYLINE HCL 50 MG TAB,00378265001,0.19259,0.17846,G,-7.34,Survey Rate,06/16/2021,06/23/2021,06/23/2021
HM CHLD PAIN-FEVER 160 MG/5 ML,62011024601,0.01970,0.02054,G,4.26,Survey Rate,06/16/2021,06/23/2021,06/23/2021
WARFARIN SODIUM 2.5 MG TABLET,51672402903,0.10561,0.09670,G,-8.44,Survey Rate,06/16/2021,06/23/2021,06/23/2021
QC SORE THROAT 1.4% SPRAY,63868081155,0.00906,0.00927,G,2.32,Survey Rate,06/16/2021,06/23/2021,06/23/2021
METOPROLOL SUCC ER 25 MG TAB,00904632206,0.10497,0.10200,G,-2.83,Survey Rate,06/16/2021,06/23/2021,06/23/2021
HYDROCODONE-ACETAMINOPHEN 10-325 MG TABLET,00527165105,0.13535,0.12620,G,-6.76,Survey Rate,06/16/2021,06/23/2021,06/23/2021
TIZANIDINE HCL 2 MG TABLET,67877061315,0.05558,0.05851,G,5.27,Survey Rate,06/16/2021,06/23/2021,06/23/2021
QUETIAPINE FUMARATE 50 MG TAB,16714045302,0.05336,0.04717,G,-11.60,Survey Rate,06/16/2021,06/23/2021,06/23/2021
TRIAMCINOLONE 0.1% OINTMENT,00713022815,0.14892,0.13334,G,-10.46,Survey Rate,06/16/2021,06/23/2021,06/23/2021
LEVETIRACETAM ER 750 MG TABLET,60505351706,0.53954,0.58958,G,9.27,Survey Rate,06/16/2021,06/23/2021,06/23/2021
URSODIOL 250 MG TABLET,60687052711,0.89062,0.87721,G,-1.51,Survey Rate,06/16/2021,06/23/2021,06/23/2021
LEVETIRACETAM 250 MG TABLET,63739079510,0.08736,0.08743,G,0.08,Survey Rate,06/16/2021,06/23/2021,06/23/2021
MECLIZINE 25 MG TABLET,42806001401,0.13699,0.14514,G,5.95,Survey Rate,06/16/2021,06/23/2021,06/23/2021
DEXTROAMP-AMPHETAMINE 5 MG TAB,72516001601,0.32533,0.30121,G,-7.41,Survey Rate,06/16/2021,06/23/2021,06/23/2021
DILTIAZEM 24HR ER 360 MG CAP,47335067381,0.65327,0.61851,G,-5.32,Survey Rate,06/16/2021,06/23/2021,06/23/2021
SOLIFENACIN 10 MG TABLET,72205002130,0.26976,0.24354,G,-9.72,Survey Rate,06/16/2021,06/23/2021,06/23/2021
PRAZOSIN 5 MG CAPSULE,00093406952,0.51416,0.44760,G,-12.95,Survey Rate,06/16/2021,06/23/2021,06/23/2021
LISINOPRIL-HYDROCHLOROTHIAZIDE 10-12.5 MG TAB,68180051830,0.03946,0.03940,G,-0.15,Survey Rate,06/16/2021,06/23/2021,06/23/2021
SULINDAC 200 MG TABLET,00591566001,0.24275,0.22715,G,-6.43,Survey Rate,06/16/2021,06/23/2021,06/23/2021
DIGITEK 250 MCG TABLET,42292000220,0.31834,0.32511,G,2.13,Survey Rate,06/16/2021,06/23/2021,06/23/2021
CELECOXIB 100 MG CAPSULE,69367030101,0.11513,0.10880,G,-5.50,Survey Rate,06/16/2021,06/23/2021,06/23/2021
FENOFIBRATE 145 MG TABLET,68180036102,0.20114,0.19198,G,-4.55,Survey Rate,06/16/2021,06/23/2021,06/23/2021
FENOFIBRATE 145 MG TABLET,68084063695,0.20114,0.19198,G,-4.55,Survey Rate,06/16/2021,06/23/2021,06/23/2021
METFORMIN HCL ER 500 MG TABLET,67877041390,0.03665,0.03816,G,4.12,Survey Rate,06/16/2021,06/23/2021,06/23/2021
HYDRALAZINE 10 MG TABLET,50228018201,0.03847,0.03942,G,2.47,Survey Rate,06/16/2021,06/23/2021,06/23/2021
VANCOMYCIN HCL 250 MG CAPSULE,68180016711,4.08635,3.97737,G,-2.67,Survey Rate,06/16/2021,06/23/2021,06/23/2021
DESONIDE 0.05% OINTMENT,51672128103,0.96238,1.18115,G,22.73,Survey Rate,06/16/2021,06/23/2021,06/23/2021
PALIPERIDONE ER 3 MG TABLET,10147095203,6.68089,4.47572,G,-33.01,Survey Rate,06/16/2021,06/23/2021,06/23/2021
MONTELUKAST SOD 10 MG TABLET,00093742610,0.07423,0.07873,G,6.06,Survey Rate,06/16/2021,06/23/2021,06/23/2021
WOMEN'S LAXATIVE EC 5 MG TAB,70000044401,0.05747,0.03432,G,-40.28,Survey Rate,06/16/2021,06/23/2021,06/23/2021
BUPROPION HCL XL 300 MG TABLET,00781552910,0.22318,0.20477,G,-8.25,Survey Rate,06/16/2021,06/23/2021,06/23/2021
CEPHALEXIN 125 MG/5 ML SUSP,42043014238,0.09207,0.07014,G,-23.82,Survey Rate,06/16/2021,06/23/2021,06/23/2021
TORSEMIDE 20 MG TABLET,31722053101,0.08588,0.08854,G,3.10,Survey Rate,06/16/2021,06/23/2021,06/23/2021
FAMOTIDINE 40 MG TABLET,61442012210,0.09116,0.08554,G,-6.16,Survey Rate,06/16/2021,06/23/2021,06/23/2021
SIMVASTATIN 20 MG TABLET,70377000314,0.02882,0.02729,G,-5.31,Survey Rate,06/16/2021,06/23/2021,06/23/2021
FENTANYL 37.5 MCG/HR PATCH,00378912516,41.36489,40.25133,G,-2.69,Survey Rate,06/16/2021,06/23/2021,06/23/2021
HM COUGH DM ER 30 MG/5 ML SUSP,62011025101,0.05931,0.06195,G,4.45,Survey Rate,06/16/2021,06/23/2021,06/23/2021
TAZTIA XT 300 MG CAPSULE,62037069990,0.67830,0.76620,G,12.96,Survey Rate,06/16/2021,06/23/2021,06/23/2021
HALOBETASOL PROP 0.05% OINTMNT,70752011902,1.64948,1.72752,G,4.73,Survey Rate,06/16/2021,06/23/2021,06/23/2021
CIPROFLOXACIN HCL 500 MG TAB,58657067650,0.14001,0.14992,G,7.08,Survey Rate,06/16/2021,06/23/2021,06/23/2021
METHYLPHENIDATE ER 36 MG TAB,47781041701,1.55265,1.23196,G,-20.65,Survey Rate,06/16/2021,06/23/2021,06/23/2021
LISINOPRIL-HYDROCHLOROTHIAZIDE 10-12.5 MG TAB,69097096807,0.03946,0.03940,G,-0.15,Survey Rate,06/16/2021,06/23/2021,06/23/2021
ROPINIROLE HCL ER 8 MG TABLET,62332011090,2.32142,2.46207,G,6.06,Survey Rate,06/16/2021,06/23/2021,06/23/2021
ECONTRA EZ 1.5 MG TABLET,50102011101,8.69276,9.38604,G,7.98,Survey Rate,06/16/2021,06/23/2021,06/23/2021
PREGABALIN 200 MG CAPSULE,62332012490,0.12923,0.11430,G,-11.55,Survey Rate,06/16/2021,06/23/2021,06/23/2021
PROTRIPTYLINE HCL 10 MG TABLET,42806009730,3.21547,2.83850,G,-11.72,Survey Rate,06/16/2021,06/23/2021,06/23/2021
"NYSTATIN 500,000 UNIT ORAL TAB",53489040001,0.38103,0.37911,G,-0.50,Survey Rate,06/16/2021,06/23/2021,06/23/2021
DOCUSATE SODIUM 100 MG SOFTGEL,63739047848,0.02649,0.02558,G,-3.44,Survey Rate,06/16/2021,06/23/2021,06/23/2021
PAROXETINE HCL 20 MG TABLET,13107015599,0.08499,0.08966,G,5.49,Survey Rate,06/16/2021,06/23/2021,06/23/2021
CALCIUM ACETATE 667 MG CAPSULE,68084047901,0.38379,0.37515,G,-2.25,Survey Rate,06/16/2021,06/23/2021,06/23/2021
TACROLIMUS 0.5 MG CAPSULE (IMMEDIATE RELEASE),68462068501,0.32848,0.29957,G,-8.80,Survey Rate,06/16/2021,06/23/2021,06/23/2021
LEVOTHYROXINE 125 MCG TABLET,69238183601,0.28079,0.30694,G,9.31,Survey Rate,06/16/2021,06/23/2021,06/23/2021
BUSPIRONE HCL 15 MG TABLET,23155002506,0.05791,0.05425,G,-6.32,Survey Rate,06/16/2021,06/23/2021,06/23/2021
GABAPENTIN 400 MG CAPSULE,49483060750,0.07428,0.06088,G,-18.04,Survey Rate,06/16/2021,06/23/2021,06/23/2021
OLANZAPINE ODT 15 MG TABLET,49884032255,0.76695,1.05213,G,37.18,Survey Rate,06/16/2021,06/23/2021,06/23/2021
DICYCLOMINE 20 MG TABLET,00591079501,0.18098,0.18527,G,2.37,Survey Rate,06/16/2021,06/23/2021,06/23/2021
RIZATRIPTAN 5 MG TABLET,68462046540,0.74613,0.85739,G,14.91,Survey Rate,06/16/2021,06/23/2021,06/23/2021
SM PAIN RELIEVER 500 MG TABLET,49348073009,0.02602,0.02873,G,10.42,Survey Rate,06/16/2021,06/23/2021,06/23/2021
CARVEDILOL 25 MG TABLET,00781522401,0.03608,0.03578,G,-0.83,Survey Rate,06/16/2021,06/23/2021,06/23/2021
ATENOLOL 50 MG TABLET,64980043801,0.03174,0.03061,G,-3.56,Survey Rate,06/16/2021,06/23/2021,06/23/2021
QUETIAPINE ER 300 MG TABLET,50742063860,0.47769,0.48916,G,2.40,Survey Rate,06/16/2021,06/23/2021,06/23/2021
TRAZODONE 150 MG TABLET,68382080705,0.14997,0.16140,G,7.62,Survey Rate,06/16/2021,06/23/2021,06/23/2021
CLOBETASOL EMOLLIENT 0.05% CRM,52565009460,0.68320,0.98160,G,43.68,Survey Rate,06/16/2021,06/23/2021,06/23/2021
METHYLPREDNISOLONE 4 MG DOSEPK,00781502207,0.19862,0.19428,G,-2.19,Survey Rate,06/16/2021,06/23/2021,06/23/2021
NADOLOL 40 MG TABLET,60687031395,0.52152,0.49010,G,-6.02,Survey Rate,06/16/2021,06/23/2021,06/23/2021
PAROXETINE HCL 30 MG TABLET,65862015630,0.12388,0.11713,G,-5.45,Survey Rate,06/16/2021,06/23/2021,06/23/2021
OSELTAMIVIR 6 MG/ML SUSPENSION,27241013909,0.39664,0.37915,G,-4.41,Survey Rate,06/16/2021,06/23/2021,06/23/2021
MINTOX MAXIMUM STRENGTH SUSP,00904572514,0.00839,0.00808,G,-3.69,Survey Rate,06/16/2021,06/23/2021,06/23/2021
PHENOBARBITAL 16.2 MG TABLET,00603516532,0.26332,0.23068,G,-12.40,Survey Rate,06/16/2021,06/23/2021,06/23/2021
NORTRIPTYLINE HCL 10 MG CAP,60687028111,0.08702,0.08945,G,2.79,Survey Rate,06/16/2021,06/23/2021,06/23/2021
MORPHINE SULF ER 15 MG TABLET,00406831501,0.20871,0.19440,G,-6.86,Survey Rate,06/16/2021,06/23/2021,06/23/2021
OLMSRTN-AMLDPN-HYDROCHLOROTHIAZIDE 40-5-12.5,49884078711,2.21371,2.12739,G,-3.90,Survey Rate,06/16/2021,06/23/2021,06/23/2021
ZOLPIDEM TARTRATE 10 MG TABLET,00093007401,0.03419,0.03651,G,6.79,Survey Rate,06/16/2021,06/23/2021,06/23/2021
ZIPRASIDONE HCL 20 MG CAPSULE,16714083501,0.37083,0.28885,G,-22.11,Survey Rate,06/16/2021,06/23/2021,06/23/2021
POTASSIUM CL ER 10 MEQ CAPSULE,53746054205,0.16364,0.15163,G,-7.34,Survey Rate,06/16/2021,06/23/2021,06/23/2021
SM HYDROCORTISONE 1% OINTMENT,49348052272,0.07051,0.07698,G,9.18,Survey Rate,06/16/2021,06/23/2021,06/23/2021
IRBESARTAN-HYDROCHLOROTHIAZIDE 300-12.5 MG TB,62332005290,0.31854,0.32400,G,1.71,Survey Rate,06/16/2021,06/23/2021,06/23/2021
LOSARTAN POTASSIUM 50 MG TAB,59746033490,0.08769,0.08028,G,-8.45,Survey Rate,06/16/2021,06/23/2021,06/23/2021
HYDROXYCHLOROQUINE 200 MG TAB,59746078001,0.28455,0.28190,G,-0.93,Survey Rate,06/16/2021,06/23/2021,06/23/2021
METHYLPHENIDATE 10 MG/5 ML SOL,71930002552,0.18016,0.18658,G,3.56,Survey Rate,06/16/2021,06/23/2021,06/23/2021
HYDROXYZINE HCL 10 MG TABLET,10702001001,0.04965,0.05159,G,3.91,Survey Rate,06/16/2021,06/23/2021,06/23/2021
12-HR DECONGEST 120 MG CAPLET,36800005452,0.29058,0.29269,G,0.73,Survey Rate,06/16/2021,06/23/2021,06/23/2021
PREGABALIN 25 MG CAPSULE,60687047311,0.09877,0.09848,G,-0.29,Survey Rate,06/16/2021,06/23/2021,06/23/2021
OMEPRAZOLE DR 20 MG ODT,70000038102,0.45135,0.43988,G,-2.54,Survey Rate,06/16/2021,06/23/2021,06/23/2021
TOPIRAMATE 25 MG TABLET,76282027810,0.03320,0.03246,G,-2.23,Survey Rate,06/16/2021,06/23/2021,06/23/2021
LUBIPROSTONE 8 MCG CAPSULE,00254302802,4.65181,4.32471,G,-7.03,Survey Rate,06/16/2021,06/23/2021,06/23/2021
PRAMIPEXOLE 0.75 MG TABLET,57237018390,0.07344,0.07940,G,8.12,Survey Rate,06/16/2021,06/23/2021,06/23/2021
"METFORMIN ER 1,000 MG OSM-TAB",00591272060,2.48310,1.20000,G,-51.67,Survey Rate,06/16/2021,06/23/2021,06/23/2021
PALIPERIDONE ER 3 MG TABLET,42292002601,6.68089,4.47572,G,-33.01,Survey Rate,06/16/2021,06/23/2021,06/23/2021
RISPERIDONE 3 MG TABLET,13668003960,0.07152,0.07083,G,-0.96,Survey Rate,06/16/2021,06/23/2021,06/23/2021
ASPIRIN 81 MG CHEWABLE TABLET,00536100836,0.02780,0.02565,G,-7.73,Survey Rate,06/16/2021,06/23/2021,06/23/2021
DILTIAZEM 120 MG TABLET,00378052501,0.33535,0.31705,G,-5.46,Survey Rate,06/16/2021,06/23/2021,06/23/2021
ATORVASTATIN 10 MG TABLET,68382024910,0.04057,0.03731,G,-8.04,Survey Rate,06/16/2021,06/23/2021,06/23/2021
QUINAPRIL 5 MG TABLET,68001018905,0.11225,0.10747,G,-4.26,Survey Rate,06/16/2021,06/23/2021,06/23/2021
PERMETHRIN 5% CREAM,21922002107,0.39313,0.34806,G,-11.46,Survey Rate,06/16/2021,06/23/2021,06/23/2021
IBUPROFEN 800 MG TABLET,68084077211,0.08237,0.08037,G,-2.43,Survey Rate,06/16/2021,06/23/2021,06/23/2021
SEVELAMER CARBONATE 800 MG TAB,55111078927,0.32867,0.29534,G,-10.14,Survey Rate,06/16/2021,06/23/2021,06/23/2021
TADALAFIL 20 MG TABLET,27241012302,0.72492,0.64231,G,-11.40,Survey Rate,06/16/2021,06/23/2021,06/23/2021
ZALEPLON 5 MG CAPSULE,00054008425,0.18172,0.15898,G,-12.51,Survey Rate,06/16/2021,06/23/2021,06/23/2021
METRONIDAZOLE 250 MG TABLET,29300022605,0.13606,0.11473,G,-15.68,Survey Rate,06/16/2021,06/23/2021,06/23/2021
METHOTREXATE 250 MG/10 ML VIAL,63323012310,3.35616,3.12248,G,-6.96,Survey Rate,06/16/2021,06/23/2021,06/23/2021
CLOBETASOL 0.05% CREAM,16714099203,0.64172,0.65906,G,2.70,Survey Rate,06/16/2021,06/23/2021,06/23/2021
OXCARBAZEPINE 600 MG TABLET,51991029401,0.39549,0.41341,G,4.53,Survey Rate,06/16/2021,06/23/2021,06/23/2021
PREDNISONE 10 MG TABLET,63739051910,0.08805,0.08882,G,0.87,Survey Rate,06/16/2021,06/23/2021,06/23/2021
ALFUZOSIN HCL ER 10 MG TABLET,60505285001,0.15408,0.13052,G,-15.29,Survey Rate,06/16/2021,06/23/2021,06/23/2021
ALBENDAZOLE 200 MG TABLET,70710102108,27.42222,26.05500,G,-4.99,Survey Rate,06/16/2021,06/23/2021,06/23/2021
MELOXICAM 15 MG TABLET,68382005105,0.02067,0.02297,G,11.13,Survey Rate,06/16/2021,06/23/2021,06/23/2021
ALENDRONATE SODIUM 70 MG TAB,47335063868,0.31204,0.31186,G,-0.06,Survey Rate,06/16/2021,06/23/2021,06/23/2021
HYDROCHLOROTHIAZIDE 25 MG TAB,63739012810,0.01446,0.01499,G,3.67,Survey Rate,06/16/2021,06/23/2021,06/23/2021
SEVELAMER CARBONATE 800 MG TAB,50268072015,0.32867,0.29534,G,-10.14,Survey Rate,06/16/2021,06/23/2021,06/23/2021
FELODIPINE ER 10 MG TABLET,58657068750,0.28129,0.26030,G,-7.46,Survey Rate,06/16/2021,06/23/2021,06/23/2021
LUTERA-28 TABLET,51862002806,0.24462,0.22321,G,-8.75,Survey Rate,06/16/2021,06/23/2021,06/23/2021
